"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
-97.64,-90.49,-49.26,10,-173.1,20.15,35.42,30.17,-66.2,55.78,32.9,-68.47,139,37.45,-16.55,75.15,NA,-65.13,125.8,43.6,-141.2,-54.84,-177.7,-48.99,-55.77,-92.76,20,-67.43,4.2,-3.12,1.37,3.74,0.55
81.55,69.62,73.66,90,-102.9,-67.63,-70.37,116.8,-102.7,-44.38,33.66,-70.67,105.3,3.646,-87.95,-109.9,-26.65,-36.35,20.59,69.03,54.77,-157.4,-57.25,-70.91,-15.71,-63.61,120,50.99,-3.76,-4.5,1.53,3.37,-1.34
92.27,91.01,14.36,90,-58.82,-116.6,-84.48,-14.08,46.01,-49.21,18.39,-77.28,3.13,76.45,15.34,-40.59,131.9,-62.51,44.79,23.25,36.83,4.845,48.26,-98.8,27.98,-121.5,100,73.03,-3.5,3.11,3.11,0.56,-1.39
-140,-127.7,-208,-110,-178.6,106.9,105.9,14.53,-85.36,117.7,93.22,-69.2,164.5,-4.155,-117.8,200.2,19.72,-77.34,83.73,-5.565,-178.9,16.4,-173.4,83.85,-6.155,54.77,-60,-108.9,4.72,2.75,4.65,-3.26,-3.06
1.263,3.836,-59.02,10,-76.92,37.28,-39.58,82.32,13.83,-2.176,205.8,-9.421,75.55,-119.6,-72.64,-21.19,205.1,-23.99,193.8,38.66,27.4,103.3,140.3,-11.56,126.4,86.49,30,3.406,2.67,2.24,1.39,4.13,1.08
-95.33,-92.54,6.368,0,-160,73.77,34.03,82.72,-95.19,89.54,76.29,-83.1,NA,35.68,-128.7,142.9,119.3,NA,177.4,21.2,-150.6,-11.47,-216.7,-38.46,-58.06,-40.63,70,-82.43,-3.88,4.27,-4.34,-3.97,1.36
-88.38,-89.06,-90.41,-10,-145.8,49.09,27.34,-58.28,-75.75,81.28,61.67,-86.65,160.7,-3.844,-177.1,53.95,36.42,-33.17,172.3,94.19,-157.5,-30.89,-219.5,-5.549,-86.19,-94.76,30,-76.29,-0.33,-3.61,1.57,1.83,-0.13
0,0,-36.32,10,-76.92,24.41,-19.51,68.74,66.6,22.59,142.1,-76.02,7.058,-58.89,96.29,8.297,146.2,-86.75,84.61,-29.57,126.7,83.12,168.6,43.64,138.8,6.372,30,0,-2.91,2.79,0.69,2.42,-4.54
87.12,78.82,15.1,110,-69.44,-135.5,-99.81,77.75,-40.33,-41.15,-18.72,-34.93,-40.89,7.448,33.75,-35.93,-40.43,0.5049,-96.98,64.04,84.07,-26.58,-12.93,-89.06,26.8,-123.2,130,58.92,-2.09,4.2,-3.49,3.89,1.53
211.5,208.3,-51.2,250,-40,-86.12,-99.81,57.32,-55.61,-122.8,-179.5,119.5,-146.6,-145,73.08,-127.7,-201.1,135.2,-106.2,-221.6,-131.8,139.2,63.7,42.57,92.12,111.1,250,154,-1.21,-4.68,0.8,-4.69,-4.81
-91.59,-79,11.19,50,-16.67,-14.81,-42.49,-58.24,22.35,-15.26,114.2,30.34,-18.86,17.45,-41.16,-29.28,197.9,-21.2,85.01,27.89,60.64,-23.22,161.3,15.68,62.92,34.47,100,-61.53,-0.42,-4.24,0.09,4.93,0.95
